date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:30:54	19032/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2020:30:52%20GMT	https://cognito.co.nz/developer/	mirror/developer/developer/index.html	(from )
22:30:55	13345/13345	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Jul%202013%2002:51:18%20GMT	http://cognito.co.nz/developer/wp-content/uploads/2013/07/mwscript96.png	mirror/developer/developer/wp-content/uploads/2013/07/mwscript96.png	(from https://cognito.co.nz/developer/)
22:30:57	22217/22217	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Jul%202015%2006:06:21%20GMT	http://cognito.co.nz/developer/wp-content/uploads/2013/07/fm.png	mirror/developer/developer/wp-content/uploads/2013/07/fm.png	(from https://cognito.co.nz/developer/)
22:30:57	12706/12706	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Jul%202013%2002:58:46%20GMT	http://cognito.co.nz/developer/wp-content/uploads/2013/07/safe_image.php_.png	mirror/developer/developer/wp-content/uploads/2013/07/safe_image.php_.png	(from https://cognito.co.nz/developer/)
22:31:00	15878/15878	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Jul%202013%2003:11:57%20GMT	http://cognito.co.nz/developer/wp-content/uploads/2013/07/cloud.png	mirror/developer/developer/wp-content/uploads/2013/07/cloud.png	(from https://cognito.co.nz/developer/)
22:31:00	4278/4278	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Jul%202013%2002:54:27%20GMT	http://cognito.co.nz/developer/wp-content/uploads/2013/07/cli.png	mirror/developer/developer/wp-content/uploads/2013/07/cli.png	(from https://cognito.co.nz/developer/)
22:31:02	5579/5579	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Jul%202013%2004:17:37%20GMT	http://cognito.co.nz/developer/wp-content/uploads/2013/07/ms-office.png	mirror/developer/developer/wp-content/uploads/2013/07/ms-office.png	(from https://cognito.co.nz/developer/)
22:31:06	18291/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2020:31:03%20GMT	http://cognito.co.nz/developer/interfacing-with-ms-office/	mirror/developer/developer/interfacing-with-ms-office/index.html	(from https://cognito.co.nz/developer/)
