date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:29:34	8259/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:29:33%20GMT	https://cognito.co.nz/manual/moneyworks_file_managing_your_file.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_file_managing_your_file.html	(from https://cognito.co.nz/manual/)
20:29:37	11057/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:29:36%20GMT	https://cognito.co.nz/manual/moneyworks_file_document_file_size.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_file_document_file_size.html	(from https://cognito.co.nz/manual/)
20:29:39	8638/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:29:38%20GMT	https://cognito.co.nz/manual/moneyworks_file_protecting_your_document.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_file_protecting_your_document.html	(from https://cognito.co.nz/manual/)
20:29:40	9346/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:29:40%20GMT	https://cognito.co.nz/manual/moneyworks_file_backing_up_your_document.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_file_backing_up_your_document.html	(from https://cognito.co.nz/manual/)
20:29:43	9857/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:29:42%20GMT	https://cognito.co.nz/manual/moneyworks_file_the_log_file.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_file_the_log_file.html	(from https://cognito.co.nz/manual/)
20:29:46	12766/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:29:45%20GMT	https://cognito.co.nz/manual/moneyworks_file_moving_your_file_to_a_different_platform.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_file_moving_your_file_to_a_different_platform.html	(from https://cognito.co.nz/manual/)
20:29:50	9088/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:29:48%20GMT	https://cognito.co.nz/manual/moneyworks_file_communicating_with_your_accountant.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_file_communicating_with_your_accountant.html	(from https://cognito.co.nz/manual/)
20:29:53	9346/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:29:51%20GMT	https://cognito.co.nz/manual/moneyworks_file_diagnostics.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_file_diagnostics.html	(from https://cognito.co.nz/manual/)
20:29:55	8604/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:29:54%20GMT	https://cognito.co.nz/manual/moneyworks_file_graphics_and_logos.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_file_graphics_and_logos.html	(from https://cognito.co.nz/manual/)
20:30:01	14633/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:00%20GMT	https://cognito.co.nz/manual/moneyworks_file_managing_your_plug-ins.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_file_managing_your_plug-ins.html	(from https://cognito.co.nz/manual/)
